WELL_LOG_NO,WELL_SCREEN_ID,SCREEN_DIAM,SCREEN_TYPE_CODE,SCREEN_MAT_CODE,SCREEN_SLOT_SIZE,SCREENED_INTERVAL_FROM,SCREENED_INTERVAL_TO,SCREEN_LENGTH
973657,10874,,,,0.02,176.0,180.0,4.0
967742,11311,4.000,LOU,STA,0.025,45.0,49.0,4.0
953390,11312,,,,0.02,92.0,97.0,5.0
973746,11356,6.000,CWW,STA,0.015,117.0,120.0,3.0
973745,11377,,,,,70.0,74.0,4.0
973747,11416,,,,,124.0,127.0,3.0
973854,11417,,,,,96.0,99.0,3.0
958176,11418,5.000,CWW,PVC,0.02,71.0,75.0,4.0
967741,11421,,,,0.025,182.0,185.0,4.0
958175,11422,,,,0.02,95.0,99.0,4.0
958189,11423,,,,0.02,71.0,75.0,4.0
973853,11424,,,,,84.0,87.0,3.0
973749,11425,,,,,98.0,103.0,5.0
958182,11426,,,,0.02,51.0,55.0,4.0
973866,11574,,,,,77.0,80.0,3.0
973864,11575,,,,,97.0,100.0,3.0
2004928,11704,6.000,MAC,PVC,0.025,104.0,109.0,5.0
973865,11748,,,,,58.0,61.0,3.0
973868,11750,,,,,149.0,152.0,3.0
973875,11817,,,,,143.0,148.0,5.0
973873,11874,,,,,84.0,87.0,3.0
973715,11998,,,,,101.0,104.0,3.0
973713,12130,,,,,175.0,178.0,
973706,12239,,,,,117.0,122.0,5.0
958192,12240,,,,,52.0,57.0,5.0
958191,12411,,,,,41.0,45.0,4.0
973933,12585,,,,,171.0,174.0,3.0
958204,12594,5.000,MAC,PVC,0.0,45.0,53.0,5.0
958181,12658,,,,0.2,145.0,150.0,5.0
973967,12717,,,,,56.0,60.0,4.0
953387,12769,,,,0.018,175.0,180.0,5.0
973971,12831,,,,,121.0,136.0,15.0
2008752,12970,2.000,MAC,PVC,0.01,5.0,30.0,25.0
2008753,12971,2.000,MAC,PVC,0.01,5.0,30.0,25.0
9986095,13107,4.000,CWW,STA,0.02,139.0,142.0,3.0
967735,13128,,,,0.02,78.0,82.0,4.0
973962,13484,,,,,137.0,147.0,10.0
973970,13485,,,,,75.0,78.0,3.0
973969,13486,,,,,89.0,94.0,5.0
973985,13648,,,,,130.0,133.0,3.0
973986,13650,,,,,75.0,80.0,
973902,13677,,,,,107.0,112.0,5.0
973938,13730,,,,,82.0,85.0,3.0
973937,13734,,,,,87.0,90.0,3.0
958205,13750,,,,0.2,65.0,72.0,5.0
1007584,13844,4.000,CWW,STA,0.015,113.0,115.0,4.0
973988,13975,,,,,113.0,128.0,15.0
973899,14020,,,,,142.0,145.0,3.0
973900,14022,,,,,86.0,90.0,4.0
953391,14136,,,,0.015,175.0,180.0,5.0
958178,14137,,,,0.02,111.0,115.0,4.0
958201,14139,,,,0.02,80.0,85.0,3.0
2007054,14170,6.000,MAC,PVC,0.025,71.0,76.0,5.0
973942,14182,,,,,142.0,146.0,4.0
973944,14184,,,,,65.0,68.0,3.0
973939,14194,,,,,142.0,145.0,3.0
2007649,14332,6.000,MAC,PVC,0.025,109.0,114.0,5.0
991695,14347,,,,0.01,2.0,10.0,8.0
991694,14348,,,,0.01,2.0,10.0,8.0
991692,14349,,,,0.01,2.0,10.0,8.0
991691,14350,,,,0.01,2.0,10.0,8.0
958196,14351,,,,0.02,120.0,124.0,4.0
991693,14376,,,,0.01,2.0,10.0,8.0
973943,14419,,,,,104.0,107.0,3.0
973883,14529,,,,,67.0,70.0,3.0
973877,14530,,,,,161.0,164.0,3.0
